algorithm,lambda,seed,total_cost,total_emission,service_level,total_reward
MAPPO_zeroshot,0.2,2008,7444.8508999999995,8375.860849158347,0.010676910253018644,-376.61961729562086
NearestNeighbor,0.2,2008,24593.761799999993,32409.817555384612,0.006518467981861617,-415.78989024044245
GeneticAlgorithm,0.2,2008,18564.574999999997,26717.24029037092,0.002437564131249569,-418.7590018655238
MAPPO_zeroshot,0.2,2009,7290.987900000001,8622.52243071005,0.0075531980790802585,-392.4965768126777
NearestNeighbor,0.2,2009,24593.761799999993,32409.817555384612,0.006287686881606335,-430.678922644746
GeneticAlgorithm,0.2,2009,27456.972700000006,38707.57452934699,0.00366268423142538,-433.8433353034664
MAPPO_zeroshot,0.2,2010,7861.0089,8800.183870304392,0.01186014995473921,-385.0352461124362
NearestNeighbor,0.2,2010,24593.761799999993,32409.817555384612,0.0063811122820070666,-426.7366031312023
GeneticAlgorithm,0.2,2010,16267.031500000017,18334.539054032848,0.0036045708333268334,-415.3087512359328
MAPPO_zeroshot,0.2,2011,7861.0089,8800.183870304392,0.011738849235841163,-374.120837448006
NearestNeighbor,0.2,2011,24593.761799999993,32409.817555384612,0.006315848899154289,-415.8319654383476
GeneticAlgorithm,0.2,2011,11659.9817,13764.820417992842,0.0012507288273379544,-414.37277960172025
MAPPO_zeroshot,0.2,2012,7770.5459,8662.190720304392,0.012203735407595543,-372.74743725390067
NearestNeighbor,0.2,2012,24593.761799999993,32409.817555384612,0.006565971441586954,-413.3468582718728
GeneticAlgorithm,0.2,2012,25980.67870000001,35127.965513003706,0.002252619968823201,-427.6378951970339
MAPPO_zeroshot,0.2,2013,6654.885399999999,7173.620583282857,0.0102290762825155,-402.2756575615751
NearestNeighbor,0.2,2013,24593.761799999993,32409.817555384612,0.0061937452746967546,-443.6027193073206
GeneticAlgorithm,0.2,2013,14164.226199999966,16924.182997971442,0.003424628754282324,-433.74137853618555
MAPPO_zeroshot,0.2,2014,10967.384900000001,13184.189927283438,0.010606811382647097,-366.7622778059864
NearestNeighbor,0.2,2014,24593.761799999993,32409.817555384612,0.006475671214701811,-398.6338798202322
GeneticAlgorithm,0.2,2014,19637.88580000003,25165.865386145728,0.0036695242225326936,-398.1677264427843
